"","X[[i]]"
"236","rt  shes   bill amp  have a political past mired with islamist ties  "
"237","still writing in  in nov but if i see  surf a wave and turn some trust issues numbers around ill vote her in"
"238","rt    i dont think the trumps will be stealing  worth of furnishings when they leave unlike "
"239"," is a fucking idiot this ridiculous ad should be about her shes the one who cant be trusted tcorusqekqg"
"240","rt    voters she follows want  people beheaded amp raped when will media make  disavow t"
"241","rt    foundation received million in donations from hsbc swiss bank    of many "
"242","rt  google hides clinton body count search suggestions  tcogonlcjmcb t"
"243","i need all the nonsense behind  so she can win huge in a landslide take over congress amp govern w a mandate"
"244","rt     news flash he has reached out to independents and this is why he crushes "
"245"," ask       for   support"
"246","rt    foundation received million in donations from hsbc swiss bank    of many "
"247",NA
"248"," just in time to vote for timing so suspect"
"249","debate commission faces new challenge in selecting moderators      tcovlzhjwf"
"250"," sure  is so innocent and everyone is after her felonious ass i guess all these scandals we made up  lmao haahah"
"251","rt  love of country is part of faith a true example by      "
"252"," big deal the phrase under oath seems to mean little to the clintons    "
"253","anyone votingsupporting  is an accomplice to corruption or future corruption  shame on you "
"254",NA
"255","best line from  pollsters  looks like shes about to do what  other  couldnt doand do it rather easily"
"256","rt   now cutting hair at her rallies supercuts was nice to supply her with their official garb  htt"
"257","rt    foundation received million in donations from hsbc swiss bank    of many "
"258","msn is in bed with dc administrationso is cnnwake up ppltheyre protecting  tcorralbutp"
"259","rt  us  admits   is a threat to national security     tcok"
"260","rt  who should be the next president of the united states     "
"261","with  you see somebody working hard for something thats what it looks like    buy and  "
"262","rt  who lies more  or  answer  without question    t"
"263","rt    the doctors are with her  administering meds she needs to mask her failing health"
"264",NA
"265","rt   now cutting hair at her rallies supercuts was nice to supply her with their official garb  htt"
"266",NA
"267","rt  its a lock for        tc"
"268","the current  are run by marxists this election is pivotal to our future amp america as we know it  "
"269","rt    should be in prison tcobxnafucv  tcoxrsiyjge"
"270","rt  its a lock for        tc"
"271","rt  in costcutting measure  will now broadcast directly from s house not sure which house yet rt ht"
"272","  has zero credibility until he releases his taxes  can fight fire with fire youre not the only one"
"273","rt  establishment launches frontal assault on  as election nears  tcoymfgudcoiq tc"
"274"," may have found the perfect attack to use against     tcogmxcmkhn"
"275","  wow the pot calling the kettle black have u heard any of s tails benghazi caused by a film for starts"
"276","rt  media is trying to bring down  with emails while donald trump is embracing the alt right a racist group just l"
"277","rt  how can people not see how scary  is tcohkyifzk"
"278","rt  it is an interesting time to be alive  im not sure which way america will go but feel confident in  h"
"279","shes   bill amp  have a political past mired with islamist ties  tcojhgrcqwi"
"280","rt    they werent charged  to hear him speak like  does  "
"281","rt  they hacked  they hacked  but they dont realize strong women are indomitable they move"
"282"," dir comey said  didnt lie under oath to the  thats bcuz they didnt put her under oath tcoqgrkidl"
"283","coming to a university near youcurtesy of h r clinton   tcobcpkunzy"
"284","ever since  has been in hiding ive been so  please come out  so i can see ur ugly face amp take a dump"
"285","rt           democrats make it possible "
"286","rt  the  is under fire for shoddy  story tcoaqxytthih"
"287",NA
"288","rt   what if  had gone into bankruptcy thrice  "
"289","rt  great news  reasons why this was hillary clintons worst week ever amp getting worse tcorrxrmeosqd "
"290","rt   predicts  closes down by friday out of business  "
"291","rt   unamerican  takes direction from a guy who used to run jews to nazi death camps tcot"
"292","rt  its a lock for        tc"
"293","rt  voting  ever read a quote of   about  and dont let civilization die ht"
"294","rt   now cutting hair at her rallies supercuts was nice to supply her with their official garb  htt"
"295","rt    america   must never proceed to the white house please use your common sense amp do your research"
"296"," anything to distract the american people from s scandals"
"297","rt  rt how the   controls  amp the give widest distributionh"
"298","rt   calls on  maker to lower price immediately tcoureaplp via "
"299","rt   now cutting hair at her rallies supercuts was nice to supply her with their official garb  htt"
"300",NA
"301","rt  breaking  in  are mobilizing in groups to warn people about  rt   "
"302","rt   now cutting hair at her rallies supercuts was nice to supply her with their official garb  htt"
"303","rt  n korea knows  obama is weak amp thinks us about to elect weaker    tcoryeyis"
"304","rt   has a  chance of winning the us election if it were held today poll tcozfciae "
"305","who lies more  or  answer  without question    tcolflyetirod"
"306","rt    foundation received million in donations from hsbc swiss bank    of many "
"307"," hasnt had a good week  but will we hear that in msm  are on fire  tconhedgdcfa"
"308","media is trying to bring down  with emails while donald trump is embracing the alt right a racist group just like the kkk"
"309","rt   funds  campaign        tco"
"310","rt    foundation received million in donations from hsbc swiss bank    of many "
"311","  america   must never proceed to the white house please use your common sense amp do your research"
"312","rt  how can people not see how scary  is tcohkyifzk"
"313","channelnewsasia  has a  chance of winning the us election if it were held today poll  tcootrsrtvvb"
"314","rt  company gouging price of epipens is  foundation donor amp partner tcobvihostt    "
"315","rt  any woman who supports  supports a horrific regime like saudiarabia that still stones women  "
"316","should change form of government to pay for play       no one has clean hands"
"317","rt   unamerican  takes direction from a guy who used to run jews to nazi death camps tcot"
"318","so  is paying himself handsomely while babbling at  about   sigh  "
"319","rt  for sale gt going fast gt sold gt   bought amp paid for by   tcoezkmtc htt"
"320","rt  a nation for sale under  tcorfmlwgswj tcoqlxkpfcnav"
"321","rt   analyst accuses bill and  of monumental charity   your news wire  t"
"322","donalds hair oh well       tcouwymdrhl"
"323"," lmao the army pulled the slide why are they afraid of the big bad witch   shes going to lose"
"324","presidential race narrows as  closes in on   tcombzcuyf via  "
"325","vote    bc globalists like  dont care about the american ppl tcoifhcsjvrz"
"326","  they werent charged  to hear him speak like  does  "
"327","rt   with a health issue shes coming for ya       "
"328","rt  its a lock for        tc"
"329","rt  chris hedges speaks with ralph nader  amp    "
"330","rt  in costcutting measure  will now broadcast directly from s house not sure which house yet rt ht"
"331","notice something anyone stumping for  avoids using the term  keep an eye on this"
"332","trumps campaign the worst poorly planned ever testimony how he will run americacomplete chaos   "
"333","rt  the  is under fire for shoddy  story tcoaqxytthih"
"334","rt   dont have to pander  for votes shes with us since   tco"
"335","its a lock for        tcotkahwsada"
"336"," all these  defending  need to flip the characters in this scandal to a republican uh huhdifftune"
"337","rt    refuses to release names of  secret foreign donors  breitbart t"
"338","rt  us  admits   is a threat to national security     tcok"
"339"," is looking forward not wetback err back on his minority voter campaign how is this real  "
"340","rt  in costcutting measure  will now broadcast directly from s house not sure which house yet rt ht"
"341","rt  new details surface about s top aide amp her ties to radical muslim journal tcotzwzubgg tc"
"342","rt  so in a nutshell s initiative on  amp    tcooeiqxswn tcobbesumkb"
"343","rt   has a  chance of winning the us election if it were held today poll tcozfciae "
"344","how much did  pay  to say that  will take away gay rights all that plastic surgery messed her up"
"345","rt  easy debate guide to   tcoojiixeaz official   site  still up "
"346","rt           democrats make it possible "
"347","rt  pompano beach new  office opening pm  pm rsvp tcozgkoqlp"
"348","rt  in costcutting measure  will now broadcast directly from s house not sure which house yet rt ht"
"349","rt  cartoons of the day  and the clinton foundation tcolentumsh via "
"350","rt   im a  registered  and i am  for  because  is too corrupt for"
"351"," has a  chance of winning the us election if it were held today poll tcozfciae tcogzccfopqil"
"352","rt   now cutting hair at her rallies supercuts was nice to supply her with their official garb  htt"
"353","rt   predicts  closes down by friday out of business  "
"354","donald trump needs to stop being a massive hypocrite and release his damn taxes    "
"355","clinton calls for       tcofogjbnbc tcojbbnzrees"
"356","rt  because  does not include  in it not in any shape not in any capacity never tcobkw"
"357","tornado warning    i am hoping a house will drop on  tonight tcoyooeghbje"
"358","rt           democrats make it possible "
"359","whats a burn bag andhow amp why does one use it"
"360","rt   confirms daily she is a liar and a hypocrite mind blowing her sheep dont see it tcowugvqrlxq"
"361","rt  lesson  for  supporters    tcozziwjkeut"
"362","rt  should b tv ad also       t"
"363","rt   amp  justin timberlake and other celebrities raised m for  tcoyvwk"
"364","rt  these two critical swing states are quickly shifting toward  tcouugizybs tcomztxz"
"365","rt  s new ad unsubtly fires at s achilles heel temperament    ht"
"366","rt    foundation received million in donations from hsbc swiss bank    of many "
"367","rt  the  is under fire for shoddy  story tcoaqxytthih"
"368","rt   now cutting hair at her rallies supercuts was nice to supply her with their official garb  htt"
"369","   bought amp paid forshe has her best at heart not we the peoples   "
